room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price
4897143,22931450,Shared room,North Beach,93,4.5,4,1.0,147.0
4670847,22931450,Shared room,North Beach,115,4.5,4,1.0,137.0
6750199,25714209,Shared room,Downtown/Civic Center,4,5.0,2,1.0,145.0
11461771,9744251,Shared room,Downtown/Civic Center,8,4.0,14,1.0,138.0
259622,329072,Shared room,Financial District,125,4.5,4,1.0,90.0
785901,329072,Shared room,Financial District,78,4.5,4,1.0,90.0
786506,329072,Shared room,Financial District,83,4.5,4,1.0,90.0
7343277,22931450,Shared room,North Beach,47,5.0,4,1.0,95.0
7067087,22931450,Shared room,North Beach,59,4.5,4,1.0,90.0
7067681,22931450,Shared room,North Beach,83,4.5,4,1.0,90.0
4902365,22931450,Shared room,North Beach,87,4.5,4,1.0,90.0
12857222,329072,Shared room,Financial District,26,4.5,4,1.0,90.0
4518031,22931450,Shared room,North Beach,158,4.5,4,1.0,90.0
1711403,1110789,Shared room,Western Addition,90,5.0,4,1.0,95.0
4519757,22931450,Shared room,North Beach,129,4.5,4,1.0,90.0
13636171,33663709,Shared room,Financial District,0,0.0,2,1.0,41.0
18948580,130037991,Shared room,South of Market,0,0.0,3,1.0,42.0
4347535,3344775,Shared room,Western Addition,0,0.0,1,1.0,400.0
2846662,9476237,Shared room,Pacific Heights,1,0.0,3,1.0,250.0
7528301,5164455,Shared room,Pacific Heights,1,0.0,1,1.0,250.0
14500176,3576729,Shared room,Mission,1,0.0,2,1.0,300.0
10747952,55567217,Shared room,Potrero Hill,0,0.0,2,1.0,200.0
11080673,20612226,Shared room,Downtown/Civic Center,0,0.0,2,1.0,200.0
13558325,78101035,Shared room,Outer Richmond,0,0.0,2,1.0,200.0
6557381,20163760,Shared room,Western Addition,0,0.0,2,1.0,150.0
8404771,36471102,Shared room,Bayview,0,0.0,1,1.0,150.0
18961274,6953465,Shared room,South of Market,0,0.0,1,1.0,150.0
15605179,93237994,Shared room,Outer Richmond,0,0.0,1,1.0,150.0
3821508,18776658,Shared room,Nob Hill,16,5.0,3,1.0,159.0
4170452,21408671,Shared room,Inner Richmond,1,0.0,1,1.0,150.0
4081570,21170180,Shared room,South of Market,0,0.0,1,1.0,175.0
10839934,8334445,Shared room,Western Addition,0,0.0,2,1.0,160.0
9375363,12491207,Shared room,Ocean View,4,4.0,5,1.0,169.0
8306266,43793752,Shared room,South of Market,14,5.0,1,1.0,155.0
12433576,166219,Shared room,South of Market,4,5.0,2,1.0,139.0
