room_id,host_id,host_is_superhost,property_type,room_type,neighborhood,accommodates,bedrooms,bathrooms,latitude,longitude,reviews,price,cleaning_fee,total
958,1169,t,Apartment,Entire home/apt,Western Addition,3,1.0,1.0,37.76931,-122.43386000000001,217,170.0,100.0,270.0
3850,4921,t,House,Private room,Inner Sunset,2,1.0,1.0,37.754020000000004,-122.45805,160,99.0,10.0,109.0
5858,8904,f,Apartment,Entire home/apt,Bernal Heights,5,2.0,1.0,37.74511,-122.42102,111,235.0,100.0,335.0
7918,21994,t,Apartment,Private room,Haight Ashbury,2,1.0,4.0,37.766690000000004,-122.4525,18,65.0,50.0,115.0
8142,21994,t,Apartment,Private room,Haight Ashbury,2,1.0,4.0,37.76487,-122.45183,8,65.0,50.0,115.0
8339,24215,f,House,Entire home/apt,Western Addition,4,2.0,1.5,37.77525,-122.43637,28,875.0,225.0,1100.0
8739,7149,t,Condominium,Private room,Mission,3,1.0,1.0,37.759190000000004,-122.42237,704,139.0,50.0,189.0
9225,29674,t,House,Private room,Potrero Hill,2,1.0,1.0,37.76259,-122.40543000000001,511,135.0,50.0,185.0
10251,35199,t,House,Entire home/apt,Mission,4,2.0,1.0,37.75874,-122.41327,337,225.0,100.0,325.0
10578,37049,f,Apartment,Entire home/apt,Nob Hill,2,0.0,1.0,37.79143,-122.41543999999999,18,120.0,75.0,195.0
10820,38836,f,Apartment,Entire home/apt,Haight Ashbury,3,3.0,1.0,37.77187,-122.43858999999999,37,177.0,208.0,385.0
10824,38836,f,Apartment,Entire home/apt,Western Addition,5,3.0,2.0,37.77355,-122.42436000000001,15,194.0,208.0,402.0
10832,38836,f,Apartment,Entire home/apt,Downtown/Civic Center,2,1.0,1.5,37.785740000000004,-122.40798000000001,19,139.0,156.0,295.0
12041,21994,t,Apartment,Private room,Haight Ashbury,2,1.0,3.0,37.77019,-122.44594,6,85.0,50.0,135.0
12042,21994,t,Apartment,Private room,Haight Ashbury,2,1.0,3.0,37.76894,-122.44778000000001,5,85.0,50.0,135.0
12522,18431,t,Apartment,Private room,Castro/Upper Market,1,1.0,1.0,37.76075,-122.43032,414,79.0,10.0,89.0
12584,49383,t,Townhouse,Entire home/apt,Inner Sunset,4,2.0,1.0,37.762029999999996,-122.45455,17,122.0,279.0,401.0
14125,55475,t,Apartment,Entire home/apt,Mission,3,1.0,1.0,37.754909999999995,-122.42246000000002,114,215.0,80.0,295.0
17132,43185,f,Condominium,Entire home/apt,South of Market,4,2.0,2.0,37.78647,-122.39072,14,450.0,250.0,700.0
18231,70224,f,Apartment,Entire home/apt,Noe Valley,3,0.0,1.0,37.74888,-122.42981999999999,62,107.0,,
18904,72464,t,Townhouse,Private room,Western Addition,2,1.0,1.0,37.77252,-122.43216000000001,397,110.0,30.0,140.0
21334,81455,f,Loft,Entire home/apt,Nob Hill,2,1.0,1.0,37.7958,-122.41533000000001,119,125.0,100.0,225.0
21914,21994,t,Apartment,Private room,Haight Ashbury,2,1.0,4.0,37.7648,-122.45251,14,65.0,50.0,115.0
23630,93257,t,House,Entire home/apt,Castro/Upper Market,2,1.0,1.0,37.75963,-122.44143000000001,391,155.0,60.0,215.0
24450,99058,t,Apartment,Entire home/apt,Noe Valley,3,1.0,1.0,37.74885,-122.43673000000001,244,180.0,80.0,260.0
24463,99128,t,Apartment,Private room,Potrero Hill,2,1.0,1.0,37.75645,-122.3991,293,155.0,80.0,235.0
24685,100567,t,Apartment,Private room,Haight Ashbury,1,1.0,1.0,37.77162,-122.43836,197,79.0,,
24723,100800,t,Guest suite,Entire home/apt,Western Addition,4,1.0,1.0,37.78716,-122.43386000000001,314,195.0,20.0,215.0
25094,103339,t,House,Private room,Noe Valley,2,1.0,1.0,37.74188,-122.43122,39,150.0,25.0,175.0
25463,72464,t,Townhouse,Private room,Western Addition,2,1.0,1.0,37.77729,-122.43421000000001,429,110.0,30.0,140.0
25662,106005,t,House,Private room,Potrero Hill,3,0.0,1.0,37.76212,-122.39541000000001,313,125.0,50.0,175.0
26408,111141,f,Apartment,Entire home/apt,Western Addition,10,4.0,2.0,37.77478,-122.4315,33,450.0,160.0,610.0
27025,115673,t,Apartment,Entire home/apt,Castro/Upper Market,2,1.0,1.0,37.76298,-122.43136000000001,132,125.0,125.0,250.0
27028,7149,t,Condominium,Private room,Mission,4,1.0,1.0,37.760979999999996,-122.42158,27,199.0,75.0,274.0
29373,126263,t,House,Entire home/apt,Bernal Heights,4,2.0,2.0,37.73729,-122.41163,16,220.0,140.0,360.0
29557,126036,t,Apartment,Entire home/apt,Outer Richmond,4,1.0,1.0,37.779309999999995,-122.50518000000001,58,155.0,,
32414,140251,f,Apartment,Entire home/apt,Bernal Heights,2,1.0,1.0,37.74025,-122.41259,94,150.0,0.0,150.0
33578,145258,t,House,Entire home/apt,Potrero Hill,2,1.0,1.0,37.76526,-122.3973,571,240.0,110.0,350.0
39174,127367,t,Guest suite,Entire home/apt,Noe Valley,2,1.0,1.0,37.7483,-122.42488,20,107.0,155.0,262.0
39418,169184,f,Apartment,Entire home/apt,Bernal Heights,2,0.0,1.0,37.74093,-122.42055,22,94.0,65.0,159.0
40092,172182,t,Apartment,Entire home/apt,Mission,2,1.0,1.0,37.76016,-122.41968999999999,97,108.0,50.0,158.0
40138,172306,f,Apartment,Private room,Presidio Heights,1,1.0,1.0,37.78255,-122.44843999999999,137,67.0,35.0,102.0
41055,178043,t,House,Entire home/apt,Castro/Upper Market,3,1.0,1.0,37.76125,-122.43335,54,159.0,120.0,279.0
41172,53314,t,House,Private room,Bernal Heights,2,1.0,2.0,37.740829999999995,-122.41763,255,127.0,50.0,177.0
41399,180530,t,Apartment,Entire home/apt,Mission,4,2.0,1.0,37.75611,-122.41866,79,290.0,120.0,410.0
41423,180715,t,House,Entire home/apt,Glen Park,3,0.0,1.0,37.73557,-122.43302,148,136.0,,
42403,127367,t,Apartment,Entire home/apt,Bernal Heights,2,0.0,1.0,37.73356,-122.41851000000001,6,85.0,155.0,240.0
42408,127367,t,House,Entire home/apt,Bernal Heights,2,1.0,1.0,37.73404,-122.41781,4,85.0,155.0,240.0
42454,177664,f,Apartment,Entire home/apt,Mission,2,1.0,1.5,37.75117,-122.41326000000001,11,104.0,0.0,104.0
42577,127367,t,Guest suite,Entire home/apt,Potrero Hill,3,2.0,1.0,37.75447,-122.38813,2,150.0,205.0,355.0
43778,127367,t,Guest suite,Entire home/apt,Haight Ashbury,2,2.0,1.0,37.77272,-122.44084,8,110.0,244.0,354.0
44032,98733,t,Apartment,Entire home/apt,Mission,2,1.0,1.0,37.75145,-122.41207,283,95.0,75.0,170.0
44680,196626,f,Apartment,Entire home/apt,Mission,4,1.0,1.0,37.75121,-122.42165,3,175.0,120.0,295.0
45299,178043,t,Guest suite,Entire home/apt,Castro/Upper Market,2,0.0,1.0,37.76068,-122.43331,140,116.0,75.0,191.0
45956,202591,t,House,Private room,Western Addition,2,1.0,3.0,37.77248,-122.43016000000001,147,125.0,30.0,155.0
47486,215133,t,House,Entire home/apt,Ocean View,2,2.0,1.0,37.725359999999995,-122.46861000000001,30,78.0,150.0,228.0
47682,216682,t,Apartment,Entire home/apt,Pacific Heights,2,1.0,1.0,37.7925,-122.42431,27,120.0,160.0,280.0
51374,236023,f,Apartment,Entire home/apt,Inner Sunset,4,2.0,1.0,37.765190000000004,-122.45613,8,9999.0,80.0,10079.0
51557,237200,t,Apartment,Entire home/apt,Western Addition,2,1.0,1.0,37.771209999999996,-122.42833999999999,107,119.0,175.0,294.0
51773,216682,t,Apartment,Private room,Pacific Heights,1,1.0,0.0,37.79312,-122.426,162,55.0,50.0,105.0
53280,126263,t,House,Private room,Bernal Heights,2,1.0,1.0,37.73878,-122.41188999999999,142,90.0,60.0,150.0
53934,252376,t,Apartment,Entire home/apt,Downtown/Civic Center,4,2.0,1.0,37.78775,-122.41633999999999,232,163.0,0.0,163.0
54518,255971,t,Condominium,Entire home/apt,Financial District,2,1.0,1.5,37.7933,-122.40078999999999,18,185.0,120.0,305.0
54634,216682,t,Apartment,Entire home/apt,Pacific Heights,2,1.0,1.0,37.79166,-122.4265,40,115.0,160.0,275.0
55632,262875,t,Apartment,Entire home/apt,Outer Richmond,4,1.0,1.0,37.77959,-122.48619,10,112.0,200.0,312.0
55636,262875,t,Apartment,Entire home/apt,Twin Peaks,4,1.0,1.0,37.74889,-122.44479,27,116.0,200.0,316.0
56621,216682,t,Apartment,Private room,Pacific Heights,1,1.0,0.0,37.792159999999996,-122.42458,123,55.0,70.0,125.0
56715,252376,t,Apartment,Entire home/apt,Downtown/Civic Center,4,2.0,1.0,37.78816,-122.41722,88,187.0,0.0,187.0
57479,210882,f,Apartment,Entire home/apt,Haight Ashbury,5,2.0,2.0,37.77459,-122.43923000000001,152,200.0,100.0,300.0
