room_id,host_id,host_is_superhost,property_type,room_type,neighborhood,zipcode,accommodates,bedrooms,bathrooms,minimum_nights,maximum_nights,latitude,longitude,reviews,review_scores_rating,price,cleaning_fee,total,Median,Mean,Pop
958,1169,t,Apartment,Entire home/apt,Western Addition,94117,3,1.0,1.0,1,30,37.76931,-122.43386,217,97.0,170.0,100.0,270.0,84802.0,112291.0,39169.0
3850,4921,t,House,Private room,Inner Sunset,94131,2,1.0,1.0,1,5,37.75402,-122.45805,160,94.0,99.0,10.0,109.0,97834.0,126303.0,26881.0
5858,8904,f,Apartment,Entire home/apt,Bernal Heights,94110,5,2.0,1.0,30,60,37.74511,-122.42102,111,98.0,235.0,100.0,335.0,75106.0,98470.0,69333.0
7918,21994,t,Apartment,Private room,Haight Ashbury,94117,2,1.0,4.0,32,60,37.76669,-122.4525,18,86.0,65.0,50.0,115.0,84802.0,112291.0,39169.0
8142,21994,t,Apartment,Private room,Haight Ashbury,94117,2,1.0,4.0,32,90,37.76487,-122.45183,8,93.0,65.0,50.0,115.0,84802.0,112291.0,39169.0
8339,24215,f,House,Entire home/apt,Western Addition,94117,4,2.0,1.5,6,1125,37.77525,-122.43637,28,97.0,875.0,225.0,1100.0,84802.0,112291.0,39169.0
8739,7149,t,Condominium,Private room,Mission,94110,3,1.0,1.0,1,14,37.75919,-122.42237,704,98.0,139.0,50.0,189.0,75106.0,98470.0,69333.0
9225,29674,t,House,Private room,Potrero Hill,94107,2,1.0,1.0,1,365,37.76259,-122.40543,511,94.0,135.0,50.0,185.0,99924.0,135229.0,26599.0
10251,35199,t,House,Entire home/apt,Mission,94110,4,2.0,1.0,30,60,37.75874,-122.41327,337,96.0,225.0,100.0,325.0,75106.0,98470.0,69333.0
10578,37049,f,Apartment,Entire home/apt,Nob Hill,94109,2,0.0,1.0,30,180,37.79143,-122.41544,18,99.0,120.0,75.0,195.0,59205.0,86481.0,55984.0
10820,38836,f,Apartment,Entire home/apt,Haight Ashbury,94117,3,3.0,1.0,30,1125,37.77187,-122.43859,37,89.0,177.0,208.0,385.0,84802.0,112291.0,39169.0
10824,38836,f,Apartment,Entire home/apt,Western Addition,94102,5,3.0,2.0,30,1125,37.77355,-122.42436,15,91.0,194.0,208.0,402.0,29613.0,44237.0,31176.0
10832,38836,f,Apartment,Entire home/apt,Downtown/Civic Center,94102,2,1.0,1.5,30,365,37.78574,-122.40798,19,92.0,139.0,156.0,295.0,29613.0,44237.0,31176.0
12041,21994,t,Apartment,Private room,Haight Ashbury,94117,2,1.0,3.0,32,60,37.77019,-122.44594,6,80.0,85.0,50.0,135.0,84802.0,112291.0,39169.0
12042,21994,t,Apartment,Private room,Haight Ashbury,94117,2,1.0,3.0,32,90,37.76894,-122.44778,5,64.0,85.0,50.0,135.0,84802.0,112291.0,39169.0
12522,18431,t,Apartment,Private room,Castro/Upper Market,94114,1,1.0,1.0,3,27,37.76075,-122.43032,414,98.0,79.0,10.0,89.0,103206.0,140193.0,31124.0
12584,49383,t,Townhouse,Entire home/apt,Inner Sunset,94117,4,2.0,1.0,30,367,37.76203,-122.45455,17,95.0,122.0,279.0,401.0,84802.0,112291.0,39169.0
14125,55475,t,Apartment,Entire home/apt,Mission,94110,3,1.0,1.0,3,10,37.75491,-122.42246000000002,114,97.0,215.0,80.0,295.0,75106.0,98470.0,69333.0
